book_id,author
85969,"Appelbaum, Stanley."
89221,"Appignanesi, Richard."
89222,"Appignanesi, Richard."
88010,"Appignanesi, Richard."
96110,"Appignanesi, Richard."
93141,"Appignanesi, Richard."
89370,"Appignanesi, Richard."
96597,"Appignanesi, Richard."
89419,"Appignanesi, Richard."
89420,"Appignanesi, Richard."
95058,"Appleby, Barry."
88209,"Appleby, Barry."
91164,"Appleby, Barry."
95397,"Appleby, Barry."
95043,"Appleby, Barry."
95058,"Appleby, Dobs."
88209,"Appleby, Dobs."
91164,"Appleby, Dobs."
92812,"Appleby, Steven"
95193,"Appleby, Steven."
95194,"Appleby, Steven."
88819,"Appleby, Steven."
93683,"Appleby, Steven."
93684,"Appleby, Steven."
93685,"Appleby, Steven."
93686,"Appleby, Steven."
95532,"Appleby, Steven."
95533,"Appleby, Steven."
95534,"Appleby, Steven."
95538,"Appleby, Steven."
89046,"Appleby, Steven."
95540,"Appleby, Steven."
95541,"Appleby, Steven."
95542,"Appleby, Steven."
95543,"Appleby, Steven."
95545,"Appleby, Steven."
88988,"Appleby, Steven."
86169,"Appleby, Steven."
101179,"Appleby, Steven."
96723,"Appleby, Steven."
93590,"Appleby, Steven."
93630,"Appleby, Steven."
95910,"Appleby, Steven."
86360,"Aragones, Sergio,"
96577,"Aragones, Sergio,"
89969,"Aragones, Sergio,"
91713,"Aragones, Sergio,"
91713,"Aragones, Sergio,"
89414,"Arai, Takahiro."
86134,"Arancio, Juan"
96398,"Arblaster, Simon."
91949,"Arbuckle, Ivor."
89688,Arcana Studio.
89689,Arcana Studio.
89702,Arcana Studio.
89703,Arcana Studio.
89704,Arcana Studio.
89705,Arcana Studio.
89714,Arcana Studio.
89715,Arcana Studio.
86279,"Arcudi, John."
97599,"Arcudi, John."
86204,"Arcudi, John."
86280,"Arcudi, John."
89553,"Ardizzone, Sarah"
89860,"Ardizzone, Sarah"
96532,"Arendts, Amy."
96532,"Arendts, Amy."
91887,"Arlem, Renato"
96140,"Armstrong, Tom"
86678,"Armstrong, Tom"
86679,"Armstrong, Tom"
85975,"Arndt, Walter"
86307,"Arno, Peter."
86308,"Arno, Peter."
98796,"Arnold, Andrew S."
97782,"Aronofsky, Darren."
98698,"Arsenault, Isabelle"
90897,Art Studuim (Firm)
90898,Art Studuim (Firm)
90899,Art Studuim (Firm)
90900,Art Studuim (Firm)
96081,Arten
98513,"Arthur, Sam"
98006,"Artibani, Francesco."
92807,Arts & Humanities Research Council (Great Britain)
90488,Arts for the Earth.
96420,"Arzeno, Rey."
93659,"Asbury, J. M. S."
92044,"Ashford, David."
92164,"Ashford, David."
92054,"Ashford, David."
96484,"Ashibe, Yuuho."
90142,"Ashley, Bernard"
90155,"Ashley, Bernard"
86001,Ashmolean Museum.
100141,Ashmolean Museum.
88025,"Askwith, Mark."
91047,"Aspel, Michael."
93634,"Asquith, Ros."
93635,"Asquith, Ros."
93636,"Asquith, Ros."
95696,"Asquith, Ros."
93894,Associated Newspapers Group.
92395,Association for Scottish Literary Studies.
92046,Association of Comics Enthusiasts.
99222,"Assouline, Pierre."
92793,"Astorigin, Luke."
89148,"Astrop, John."
99838,"Athanassoglou-Kallmyer, Nina"
87020,"Atiyeh, Michael."
91775,"Atiyeh, Michael."
98098,"Atkins, Robert Q."
90824,"Atkinson, Mike"
91546,"Auchterlounie, Nigel."
91561,"Auchterlounie, Nigel."
91567,"Auchterlounie, Nigel."
91691,"Auchterlounie, Nigel."
91177,"Audi, Michael."
87464,"Augustyn, Brian."
99229,"Augustyn, Brian."
87644,"Austen, Chuck."
93079,"Austen, Jane"
89864,"Austen, Jane"
97672,"Auster, Paul"
95737,"Austin, David"
91334,"Austin, David"
100960,"Austin, David."
100837,"Austin, Terry"
88881,"Austin, Terry"
88022,"Austin, Terry"
89830,"Austin, Terry"
89831,"Austin, Terry"
89832,"Austin, Terry"
89833,"Austin, Terry"
94135,Austin.
86388,"Auth, Tony."
86216,"Aymond, Philippe."
86071,"Aymond, Philippe."
86072,"Aymond, Philippe."
98611,"Aymond, Philippe."
92858,"Azzarello, Brian."
92858,"Azzarello, Brian."
92821,"Azzarello, Brian."
92821,"Azzarello, Brian."
92824,"Azzarello, Brian."
92824,"Azzarello, Brian."
93114,"Azzarello, Brian."
87500,"Azzarello, Brian."
93223,"Azzarello, Brian."
96043,"B., David"
93041,"B., David"
91778,"Baal, Kewber."
93868,"Babb, Paul."
86903,"Bacall, Aaron."
91886,"Bachalo, Chris"
96543,"Bachalo, Chris."
96543,"Bachalo, Chris."
93109,"Bachalo, Chris."
91763,"Bachalo, Chris."
91610,"Bachs, Ramon F."
91610,"Bachs, Ramon F."
87461,"Bachs, Ramon F."
90236,"Bader, Hilary J."
87922,"Baek, HyeKyung"
87922,"Baek, HyeKyung."
87848,"Bagge, Peter."
97517,"Bagge, Peter."
97518,"Bagge, Peter."
91573,"Bagge, Peter."
87849,"Bagge, Peter."
87850,"Bagge, Peter."
87847,"Bagge, Peter."
92786,"Bagge, Peter."
91562,"Bagge, Peter."
87538,"Bagley, Mark."
100674,"Bagley, Mark."
100677,"Bagley, Mark."
95629,"Bagnall, Brian."
91846,"Bagwell, Edmund"
91744,"Bagwell, Edmund."
88319,"Baikie, Jim."
95581,"Bailey, Alan"
90965,"Bailey, John"
99578,"Baily, Bernard"
86463,"Bain, David"
93168,"Bair, Michael."
93179,Bairi.
90507,"Bairnsfather, Bruce."
88806,"Baker, Bill"
94289,"Baker, Doug"
92815,"Baker, Kevin"
90591,"Baker, Nick"
90593,"Baker, Nick"
94332,"Baker, Nick"
86002,"Baker, William Howard."
98825,"Baker-Smith, Grahame."
90005,"Baldoni, Davide."
98069,"Baldus, Zachary."
88375,"Ball, Murray."
97910,"Balsman, Phil."
99042,"Balsman, Phil."
92552,"Baltazar, Art"
90007,"Baltazar, Art."
89039,"Balthazar, Flore."
93549,"Bamber, Jim."
97221,"Bamber, Jim."
92432,"Bancroft, Tom."
95421,"Banerji, Christiane."
87498,"Banning, Matt."
89411,Bannister.
94174,Banx
93631,Banx
95902,Banx
100357,"Barber, John."
87081,Barbican Art Gallery.
100174,Bard
93741,"Barker, Clive"
88879,"Barker, Clive"
88880,"Barker, Clive"
99602,"Barker, Clive"
99606,"Barker, Clive"
98732,"Barker, Clive"
98773,"Barker, Clive"
93743,"Barker, Clive"
93744,"Barker, Clive"
92636,"Barker, Keith."
92456,"Barker, Martin"
91919,"Barker, Martin"
95904,"Barnard, Guy."
90551,"Barnes, Peter"
90555,"Barnes, Peter"
92510,"Barr, Mike W."
88022,"Barr, Mike W."
87426,"Barr, Mike W."
86685,"Barr, Mike W.."
96133,"Barr, Steve"
96133,"Barr, Steve"
87028,"Barr, Steve"
87028,"Barr, Steve"
97261,"Barrand, Paul."
88235,"Barrell, Tony."
97764,"Barreto, Eduardo."
87464,"Barreto, Eduardo."
91557,"Barrett, David E."
98583,"Barrett, Philip."
90900,"Barrie, J. M."
87596,"Barrionuevo, Al."
86817,"Barron's Educational Series, Inc."
91572,"Barron, Fred."
89860,Barroux
96708,"Barrows, Eddy."
89037,"Barry, James L."
91672,"Barry, Lynda"
86901,"Barsotti, C."
100103,"Barsotti, Charles."
89136,"Bartoll, Jean-Claude."
100259,"Bartoll, Jean-Claude."
100260,"Bartoll, Jean-Claude."
93055,"Barzilay, Rod"
89187,Basic Skills Agency.
89191,Basic Skills Agency.
89192,Basic Skills Agency.
89193,Basic Skills Agency.
89194,Basic Skills Agency.
90232,Basic Skills Agency.
87660,"Baskerville, Stephen."
93158,"Baskerville, Stephen."
91730,"Basri, Sami."
91730,"Basri, Sami."
97759,"Bass, Guy."
97759,"Bass, Ian."
96377,"Bastian, Jeremy"
88201,"Batchelor, Tim."
91248,"Bateman, H. M."
93690,"Bateman, H. M."
95701,"Bateman, H. M."
91070,"Bateman, H. M."
88323,"Bateman, H. M."
90499,"Bateman, Henry Mayo."
90500,"Bateman, Henry Mayo."
88264,"Bateman, Henry Mayo."
89970,"Bates, James"
97866,"Bates, James"
97958,"Bates, James"
90014,"Bates, James"
89970,"Bates, Karen."
97866,"Bates, Karen."
97958,"Bates, Karen."
98058,"Bates, Karen."
90008,"Bates, Karen."
92025,Bath Municipal Libraries.
91778,"Batista, Adriano."
88849,"Batista, Chris."
87020,"Batista, Chris."
93946,Battle (London : 1986)
90029,"Battle, Craig"
98737,"Baugh, Matthew"
90897,"Baum, L. Frank"
89484,"Baum, L. Frank"
99042,"Baumann, Moose."
90458,"Baxendale, Leo."
88369,"Baxendale, Leo."
88831,"Baxendale, Leo."
93645,"Baxendale, Leo."
87664,"Baxendale, Leo."
87665,"Baxendale, Leo."
87666,"Baxendale, Leo."
87662,"Baxendale, Leo."
93646,"Baxendale, Martin."
93647,"Baxendale, Martin."
93648,"Baxendale, Martin."
95582,"Baxendale, Martin."
95896,"Baxendale, Martin."
95897,"Baxendale, Martin."
95979,"Baxendale, Martin."
95986,"Baxendale, Martin."
95753,"Baxter, Biddy."
90477,"Baxter, Glen."
86009,"Baxter, Glen."
90479,"Baxter, Glen."
94325,"Baxter, Glen."
93637,"Baxter, Glen."
88262,"Baxter, Glen."
93664,"Baxter, Glen."
93682,"Baxter, Glen."
95537,"Baxter, Glen."
95544,"Baxter, Glen."
96021,"Baxter, Glen."
95912,"Baxter, Glen."
96581,"Bayliss, R. C."
90575,"Baynes, Kate."
90575,"Baynes, Ken."
87667,"Ba, Gabriel."
87667,"Ba, Gabriel."
93501,BBC Enterprises.
96726,BBC Worldwide Ltd.
92062,Beano.
92063,Beano.
92064,Beano.
92065,Beano.
92067,Beano.
92129,Beano.
92132,Beano.
89661,"Beard, George"
89724,"Beard, George"
100374,"Beare, Geoffrey C."
95941,"Beare, Geoffrey C."
89033,"Beaton, Clare."
89034,"Beaton, Clare."
97684,"Beaton, Clare."
97685,"Beaton, Clare."
89023,"Beaton, Clare."
87672,"Beaton, Kate"
87512,"Beatty, John"
87646,"Beatty, Scott"
100684,"Beatty, Scott"
89079,"Beatty, Scott"
87656,"Beatty, Scott"
91941,"Beatty, Scott"
91580,"Beatty, Scott"
91580,"Beatty, Scott"
91940,"Beatty, Scott"
87626,"Beatty, Terry"
87627,"Beatty, Terry"
87628,"Beatty, Terry"
87629,"Beatty, Terry"
95527,"Beaumont, Robert."
96564,"Beaumont, Steve."
92430,"Beaumont, Steve."
86089,"Beavers, Ethen."
87676,"Bechdel, Alison"
100857,"Bechdel, Alison"
87677,"Bechdel, Alison"
87678,"Bechdel, Alison."
90073,"Bechet, Vincent."
92042,"Beck, John"
86907,"Becker, Suzy."
100178,"Becker, Suzy."
99005,"Bedard, Tony."
99020,"Bedard, Tony."
89076,"Bedard, Tony."
99025,"Bedard, Tony."
99026,"Bedard, Tony."
99023,"Bedard, Tony."
89083,"Bee, Peter Wynter."
89084,"Bee, Peter Wynter."
89085,"Bee, Peter Wynter."
86060,"Beecroft, Simon."
91009,Beelden storm.
85978,"Beerbohm, Max"
85979,"Beerbohm, Max"
91246,"Beest, Emil van."
101044,"Belardinelli, Massimo"
91844,"Belardinelli, Massimo"
96442,"Belardinelli, Massimo"
97683,"Belardinelli, Massimo."
95465,"Belcher, Bill"
88125,"Bell, Anthea."
88126,"Bell, Anthea."
88130,"Bell, Anthea."
88131,"Bell, Anthea."
88132,"Bell, Anthea."
88134,"Bell, Anthea."
88135,"Bell, Anthea."
90694,"Bell, Anthea."
88151,"Bell, Anthea."
88152,"Bell, Anthea."
88155,"Bell, Anthea."
88156,"Bell, Anthea."
88158,"Bell, Anthea."
88160,"Bell, Anthea."
88161,"Bell, Anthea."
88162,"Bell, Anthea."
88164,"Bell, Anthea."
88165,"Bell, Anthea."
88174,"Bell, Anthea."
88177,"Bell, Anthea."
88178,"Bell, Anthea."
90880,"Bell, Anthea."
90886,"Bell, Anthea."
90887,"Bell, Anthea."
90888,"Bell, Anthea."
90907,"Bell, Anthea."
90918,"Bell, Anthea."
91082,"Bell, Anthea."
91083,"Bell, Anthea."
91083,"Bell, Anthea."
91085,"Bell, Anthea."
91085,"Bell, Anthea."
91087,"Bell, Anthea."
93581,"Bell, Jennifer"
91622,"Bell, Roanne"
93704,"Bell, Steve"
93713,"Bell, Steve"
92107,"Bell, Steve"
98952,"Bell, Steve"
91010,"Bell, Steve"
93789,"Bell, Steve"
93791,"Bell, Steve"
92116,"Bell, Steve"
92117,"Bell, Steve"
91970,"Bell, Steve"
98954,"Bell, Steve"
87991,"Bell, Steve"
95898,"Bell, Steve"
95975,"Bell, Steve"
86094,"Bellamy, Frank"
90063,"Bellamy, Frank"
93067,"Bellamy, Frank"
91718,"Bellamy, Frank"
88328,"Bellamy, Sasha."
90669,Bellamy.
96561,"Belledin, Steve."
89021,"Belton, Claire"
98684,"Bemis, Max"
89812,"Benacquista, Tonino"
89681,"Benacquista, Tonino."
91902,"Bender, Howard."
96906,"Bender, Hy."
91832,"Bendis, Brian Michael"
91851,"Bendis, Brian Michael"
91881,"Bendis, Brian Michael"
91886,"Bendis, Brian Michael"
91671,"Bendis, Brian Michael."
96363,"Bendis, Brian Michael."
91756,"Bendis, Brian Michael."
91848,"Bendis, Brian Michael."
96196,"Bendis, Brian Michael."
96196,"Bendis, Brian Michael."
100691,"Benefiel, Scott."
87457,"Benes, Ed."
93028,"Benes, Ed."
93028,"Benes, Ed."
100648,"Benes, Ed."
100651,"Benes, Ed."
100654,"Benes, Ed."
96333,"Benes, Ed."
100658,"Benes, Ed."
100659,"Benes, Ed."
100661,"Benes, Ed."
100662,"Benes, Ed."
87543,"Benes, Ed."
100668,"Benes, Ed."
87564,"Benes, Ed."
87591,"Benes, Ed."
91722,"Benjamin, Ryan."
100675,"Bennet, Joe."
91964,"Bennett, Carol."
93845,"Bennett, Carol."
87942,"Bennett, Joe"
97157,"Bennett, Joe"
96085,"Bennett, Joe"
89316,"Benoit, Ted."
87862,"Benoit, Ted."
87963,"Benson, Amber."
93621,"Benson, Beverley."
90446,"Benson, Timothy S."
91036,"Bent, Eric."
99282,"Bentley, Chris"
99266,"Bentley, Chris"
99269,"Bentley, Chris"
99285,"Bentley, Chris"
91718,"Bentley, Chris"
94429,"Bentley, Nicolas"
88324,"Bentley, Nicolas"
86013,"Bentley, Nicolas"
95698,"Beresford, Dick."
96736,"Berger, Joe"
86174,"Bergese, Francis,"
86171,"Bergese, Francis,"
86118,"Bergese, Francis,"
86172,"Bergese, Francis,"
86173,"Bergese, Francis,"
86173,"Bergese, Frederic,"
86118,"Bergese, Frederic."
99228,"Bergin, Mark"
96654,"Bergin, Mark"
86380,"Berman, Sam."
87568,"Bermejo, Lee."
87500,"Bermejo, Lee."
99325,"Bernet, Jordi."
98491,"Berry, Dan"
93185,"Berry, Hannah"
91782,"Berry, Hannah"
97315,Berthet
93229,"Bertilorenzi, Mick."
93877,Besley
94312,Besley.
88099,Besley.
88234,"Best, Steve."
88101,"Bestall, Alfred."
85985,"Bestall, Alfred."
95081,"Betts, Peter."
95584,"Betts, Peter."
97885,Beka.
97921,Beka.
96384,"Bianchi, Simone."
85964,"Bibliotheque municipale (Caen, France)"
88815,"Biegeleisen, J. I."
88815,"Biegeleisen, J. I."
96495,"Bierbaum, Mary."
96495,"Bierbaum, Tom."
97437,Bijou funnies.
88878,"Bilal, Enki."
88058,"Bills, Mark."
98971,"Bindman, David"
98970,"Bindman, David."
88239,"Birdsall, Derek."
91930,Birmingham Arts Lab.
86037,"Bishop, David"
86038,"Bishop, David"
89460,"Biskup, Agnieszka."
89462,"Biskup, Agnieszka."
87593,"Bisley, Simon"
86048,"Bisley, Simon"
96477,"Bisley, Simon."
93707,"Bisley, Simon."
93715,"Bisley, Simon."
93806,"Bisley, Simon."
96267,"Bisley, Simon."
96274,"Bisley, Simon."
87441,"Bisley, Simon."
86039,"Bisley, Simon."
92857,"Bisley, Simon."
93796,"Bissette, Stephen."
93797,"Bissette, Stephen."
92066,"Black, David."
89938,"Blackman, Malorie."
87104,"Blair, Preston."
95093,"Blake, Francis."
88889,"Blake, Francis."
93542,"Blake, Quentin."
95997,"Blake, Quentin."
96561,"Blanche, John."
91788,"Blasco, Jesus."
93055,"Bleathman, Graham"
89189,"Bleathman, Graham."
90735,"Blechman, R. O."
91559,"Blegvad, Peter."
90359,"Blessett, John."
90344,"Blessett, John."
89830,"Blevins, Bret"
98077,"Blevins, Bret."
85987,"Blitz, Marcia."
92163,"Bloom, Clive"
90665,"Bloomfield, Bob"
93927,"Bloomfield, Bob"
98514,"Blue, Elizabeth."
92037,"Blum, Bruno."
86372,"Bly, Mary."
88384,"Blyth, David"
99104,"Blythe, Chris."
88909,Bodart.
88910,Bodart.
91727,"Boddy, Ashley."
86166,"Boddy, Sarah"
95751,"Bogg, Peter."
95992,"Bohm, Thomas"
95993,"Bohm, Thomas"
97831,"Boilet, Frederic."
91623,"Bolland, Brian."
91499,"Bolland, Brian."
93805,"Bolland, Brian."
98837,"Bolland, Brian."
93807,"Bolland, Brian."
93813,"Bolland, Brian."
93814,"Bolland, Brian."
87432,"Bolland, Brian."
87484,"Bolland, Brian."
88022,"Bolland, Brian."
91770,"Bolland, Brian."
96481,"Bolton, John"
96185,"Bolton, John"
96489,"Bolton, John"
96489,"Bolton, John"
93741,"Bolton, John"
97542,"Bolton, John"
97542,"Bolton, John"
87021,"Bolton, John"
96263,"Bolton, John"
98854,"Bolton, John"
96317,"Bolton, John"
91650,"Bolton, John"
91650,"Bolton, John"
99563,"Bolton, John"
98625,"Bolton, John"
96419,"Bolton, John."
95953,"Boncza, Michal."
91813,"Bond, Grant."
91813,"Bond, Grant."
90932,"Bond, Michael."
91324,"Bond, Michael."
87846,"Bond, Philip"
92819,"Bond, Philip"
97636,"Bond, Philip."
93585,"Bond, Simon"
99908,"Bond, Simon"
93705,"Bond, Simon"
93712,"Bond, Simon"
95695,"Bond, Simon"
93783,"Bond, Simon"
95742,"Bond, Simon"
95757,"Bond, Simon"
95759,"Bond, Simon"
91068,"Bond, Simon"
95776,"Bond, Simon"
95780,"Bond, Simon"
95786,"Bond, Simon"
95788,"Bond, Simon"
91294,"Bond, Simon."
95764,"Bond, Simon."
86967,"Bond, Simon."
92158,"Bongco, Mila."
91632,Bonk.
90242,"Bonson, Richard"
90810,"Boore, Roger."
90812,"Boore, Roger."
90822,"Boore, Roger."
90993,"Boore, Roger."
86902,"Booth, George"
86385,"Booth, George"
91841,"Boothby, Ian"
91868,"Boothby, Ian"
91754,"Boothby, Ian."
90290,"Boothby, Ian."
98058,"Boothby, Ian."
90008,"Boothby, Ian."
96441,"Borstel, Marc"
90447,"Boschi, Roland"
88101,"Bott, Caroline G."
89545,"Boultwood, Dan."
89560,"Boultwood, Dan."
89561,"Boultwood, Dan."
89631,"Boultwood, Dan."
89632,"Boultwood, Dan."
89634,"Boultwood, Dan."
89635,"Boultwood, Dan."
100913,"Boumphrey, Ian."
92867,"Bourdain, Anthony"
87071,"Bourgeois, Jacques."
87071,"Bourgeois, Jacques."
89801,"Bowen, Carl"
89802,"Bowen, Carl"
89803,"Bowen, Carl"
89804,"Bowen, Carl"
89386,"Bowen, Carl."
89390,"Bowen, Carl."
89483,"Bowen, Carl."
88015,"Bowen, Carl."
86181,"Bowen, Carl."
89922,"Bowkett, Stephen."
89267,"Bowkett, Stephen."
92404,"Boyd, Ron."
92386,"Brabon, Benjamin A."
90646,"Bradbury, Lynne."
98108,"Bradbury, Ray"
87934,"Braddock, Paige"
88893,"Bradley, Susannah."
88894,"Bradley, Susannah."
90226,"Bradman, Tony."
92498,"Brady, Pat."
100424,"Bragga, Brannon."
100671,"Braithwaite, Dougie."
91931,"Bramlett, Frank."
90216,"Brandreth, Gyles Daubeney"
96577,"Brandvold, Peter."
91746,"Braun, Russell."
98622,"Brawn, David"
89484,"Break, Jorge."
86515,"Breathed, Berke."
99839,"Breathed, Berke."
92492,"Breathed, Berke."
91571,"Breathed, Berke."
99482,"Breccia, Enrique,"
97754,"Breccia, Enrique,"
97754,"Breccia, Enrique,"
88243,"Breeze, Hector."
90953,"Breeze, Hector."
91880,"Breitweiser, Mitch"
97277,"Brennan, Victor."
87953,"Brereton, Daniel."
87431,"Brereton, Daniel."
90148,"Breslin, Theresa."
89919,"Breslin, Theresa."
90951,"Bretecher, Claire."
89391,"Brevard, Katherine McLean."
89607,"Brevard, Katherine McLean."
89179,"Brewer, Susan."
