Author-Any,BL Record ID
"Alexander, David R.",16148766
"Alexander, David.",8765486
"Alexander, Doug.",13746572
"Alexander, Doug.",13746572
"Alexander, Jim",6902558
"Alexander, Peter.",13079352
"Alexovich, Aaron.",14200464
"Alexovich, Aaron.",13818518
"Aliens (London, England)",7921471
"Allan, Angus P.",15727408
"Allegri, Natasha",16483171
"Allen, Graham",8116438
"Allen, Julian.",8418446
"Allen, Julian.",8776315
"Allen, Woody",10108576
"Allen, Woody",10687963
"Allie, Scott.",10761699
"Allie, Scott.",8302793
"Allie, Scott.",10761816
"Allie, Scott.",10761816
"Allie, Scott.",10761818
"Allie, Scott.",10761818
"Allie, Scott.",12276420
"Allie, Scott.",12276420
"Allie, Scott.",12286415
"Allie, Scott.",12286423
"Allie, Scott.",12286423
"Allie, Scott.",13053278
"Allie, Scott.",15739026
"Allinson, Jim.",13458171
"Allman, Howard.",15391570
"Allred, Mike",10761806
"Allred, Mike",10761806
"Almqvist, Bertil.",9925387
"Almqvist, Bertil.",9925388
"Alphona, Adrian.",13568130
"Alphona, Adrian.",13736601
"Alphona, Adrian.",14016565
"Alphona, Adrian.",14480201
"Alphona, Adrian.",14837284
"Alquiza, Marlo.",10138610
"Alquiza, Marlo.",10138610
"Alsip, Neil.",9380213
"Alsip, Neil.",10761898
"Alsip, Neil.",14656133
"Altman, Mark A.",10731239
"Altman, Mark A.",10731039
"Altschuler, John.",9375817
"Alvarado, Oscar",15405476
"Alvarado, Oscar",15658321
"Alvarez, Tom",10757533
"Amano, Yoshitaka.",10761595
"Ambrosio, Stefano.",15729947
"Amend, Bill.",10348110
"Amend, Bill.",10348119
"Amend, Bill.",10731143
"Amend, Bill.",10731147
American Bande Dessinee Society.,13710646
American Bande Dessinee Society.,13710647
"Ames, Jonathan.",14702824
"Ames, Jonathan.",15357747
"Amis, Kingsley",13310934
Amnesty International.,8837915
Amon spek (1985),11810721
"Amory, Mark",12699812
"Andersen, Brent",16650727
Anderson & Low.,15770043
"Anderson, Anthony",7440527
"Anderson, Brad",16597282
"Anderson, Brad",16597283
"Anderson, Brad",16597284
"Anderson, Brad",16597285
"Anderson, Brad.",7440744
"Anderson, Brad.",10308190
"Anderson, Brad.",15729990
"Anderson, Brad.",15795141
"Anderson, Brent Eric.",10731225
"Anderson, Brent Eric.",12286279
"Anderson, Brent Eric.",13508238
"Anderson, Brent Eric.",15639260
"Anderson, Brent Eric.",15856081
"Anderson, Brent Eric.",15969549
"Anderson, Brent.",15715974
"Anderson, Cheryl",16246879
"Anderson, David.",11351769
"Anderson, Gerry",11175216
"Anderson, Gerry",11183458
"Anderson, Gerry",11327385
"Anderson, Gerry",15573482
"Anderson, Gerry",15601313
"Anderson, Gerry.",15612274
"Anderson, Ian",9495910
"Anderson, Jeff.",9447915
"Anderson, Jeff.",9447914
"Anderson, Jeff.",12881464
"Anderson, Jeff.",13106944
"Anderson, Jeff.",13119208
"Anderson, Jeff.",14478433
"Anderson, Kevin J.",6948851
"Anderson, Kevin J.",10138598
"Anderson, Kevin J.",10388171
"Anderson, Kevin J.",10761533
"Anderson, Kevin J.",10761598
"Anderson, Kevin J.",10761599
"Anderson, Kevin J.",12286274
"Anderson, Kevin J.",14627541
"Anderson, Kevin J.",15415761
"Anderson, Kevin J.",10731085
"Anderson, Kevin J.",12029356
"Anderson, Matt",15584946
"Anderson, Murphy.",14864705
"Anderson, Wayne.",10728991
"Andolfo, Mirka.",15794775
"Andrews, Catherine",16113197
"Andrews, Esao.",16073134
"Andrews, Jackie.",10708791
"Andrews, M. H. de T.",15866626
"Andreyko, Marc.",15664172
"Andreyko, Marc.",14702816
"Andreyko, Marc.",14702816
"Andriola, Alfred",10287625
"Andru, Ross",16257456
"Andru, Ross.",15292356
"Andru, Ross.",15578662
"Andru, Ross.",15814287
"Andru, Ross.",15856133
"Andru, Ross.",15970150
"Andru, Ross.",16087143
"Angrave, Bruce.",8319635
"Angrave, Bruce.",8322738
"Angrave, Bruce.",9369435
"Angrave, Bruce.",9369436
"Angrave, Bruce.",9369438
"Anie, Elia.",15271165
"Anka, Kris",16589861
"Anka, Kris",16622806
Anne Frank House.,15638677
Anne Frank House.,15638678
Annie.,8792658
"Annoying orange (Exeter, England)",16548987
Anthology (Duncan of Jordanstone College of Art and Design),16184449
Anthony.,8828359
Antique Collectors' Club.,11400327
Anton.,7650752
Anton.,9034253
"Antram, David",14537700
"Antram, David",15624734
"Antram, David",16295325
"Antram, David",16295326
"Antram, David",16309042
"Antram, David",16309043
"Antram, David",16329524
"Antram, David",16329525
"Antram, David",16458008
"Antram, David",16107853
"Anuff, Joey.",9070976
"Anyango, Catherine.",15523313
"Anzai, Nobuyuki",13348562
"Aoyama, Gosho.",13240121
"Aparo, Jim.",15974619
"Aparo, Jim.",12029237
"Aparo, Jim.",14822231
"Aparo, Jim.",15794625
"Apelgren, Tobias.",7238999
"Apicella, Enzo.",8808796
"Apicella, Enzo.",8815219
"Appelbaum, Stanley.",8077610
"Appelbaum, Stanley.",8077610
"Appignanesi, Richard.",13567865
"Appignanesi, Richard.",13567866
"Appignanesi, Richard.",13773033
"Appignanesi, Richard.",13773034
"Appignanesi, Richard.",14235557
"Appignanesi, Richard.",14542944
"Appignanesi, Richard.",14542945
"Appignanesi, Richard.",14685913
"Appignanesi, Richard.",14685914
"Appignanesi, Richard.",14884083
"Appignanesi, Richard.",14921114
"Appignanesi, Richard.",14921115
"Appignanesi, Richard.",15296973
"Appignanesi, Richard.",15296974
"Appleby, Barry.",6737902
"Appleby, Barry.",6737903
"Appleby, Barry.",6748185
"Appleby, Barry.",6992893
"Appleby, Barry.",7648947
"Appleby, Barry.",8312696
"Appleby, Barry.",8994829
"Appleby, Barry.",9007100
"Appleby, Barry.",9652135
"Appleby, Barry.",10292048
"Appleby, Barry.",10301984
"Appleby, Barry.",10929683
"Appleby, Barry.",11567100
"Appleby, Barry.",12220687
"Appleby, Barry.",5579582
"Appleby, Barry.",5579586
"Appleby, Barry.",5593189
"Appleby, Barry.",5593193
"Appleby, Barry.",5593199
"Appleby, Barry.",5593201
"Appleby, Barry.",5593203
"Appleby, Barry.",5593208
"Appleby, Barry.",5593212
"Appleby, Barry.",5610463
"Appleby, Barry.",5612531
"Appleby, Barry.",5626018
"Appleby, Barry.",5644106
"Appleby, Barry.",7658840
"Appleby, Barry.",8329959
"Appleby, Barry.",8829988
"Appleby, Barry.",13290094
"Appleby, Dobs.",5579582
"Appleby, Dobs.",5579586
"Appleby, Dobs.",5593189
"Appleby, Dobs.",5593193
"Appleby, Dobs.",5593199
"Appleby, Dobs.",5593201
"Appleby, Dobs.",5593203
"Appleby, Dobs.",5593208
"Appleby, Dobs.",5593212
"Appleby, Dobs.",5610463
"Appleby, Dobs.",5612531
"Appleby, Dobs.",5626018
"Appleby, Dobs.",5644106
"Appleby, Dobs.",7658840
"Appleby, Dobs.",8329959
"Appleby, Steven",16107005
"Appleby, Steven.",7716268
"Appleby, Steven.",7716591
"Appleby, Steven.",7716836
"Appleby, Steven.",8150840
"Appleby, Steven.",10089071
"Appleby, Steven.",10089173
"Appleby, Steven.",10089317
"Appleby, Steven.",10089350
"Appleby, Steven.",10089634
"Appleby, Steven.",10089711
"Appleby, Steven.",10089814
"Appleby, Steven.",10089840
"Appleby, Steven.",10090059
"Appleby, Steven.",10090430
"Appleby, Steven.",10090499
"Appleby, Steven.",10090501
"Appleby, Steven.",10090503
"Appleby, Steven.",10090506
"Appleby, Steven.",10090508
"Appleby, Steven.",10090592
"Appleby, Steven.",10090757
"Appleby, Steven.",13246072
"Appleby, Steven.",13279192
"Appleby, Steven.",13283426
"Appleby, Steven.",13512824
"Appleby, Steven.",13527145
"Appleby, Steven.",13783995
"Appleby, Steven.",13784454
"Appleby, Steven.",8808778
"Appleby, Steven.",8808793
"Appleby, Steven.",8837916
"Appleby, Steven.",13512029
"Aragones, Sergio,",9034901
"Aragones, Sergio,",14777915
"Aragones, Sergio,",9380213
"Aragones, Sergio,",15690815
"Aragones, Sergio,",15690815
"Arai, Takahiro.",15266691
"Arancio, Juan",16111961
"Arblaster, Simon.",15847954
"Arblaster, Simon.",16213555
