title,release_date,pages,publisher,description,barcode,isbn,edition,category,rating,book_id,image_fpath,summary,price
The dinosaur films of Ray Harryhausen,01/01/2004,,McFarland,,9064042,786416661,1,"Harryhausen, Ray.",,99148,,,
Vampire Academy :a graphic novel,01/01/2011,,Razorbill,,15794231,9.78E+12,1,"Hathaway, Rose (Fictitious character) / Comic books, strips, etc. / Fiction.",,99152,,,
Blair Witch II :the graphic novel.,01/01/2000,,ScreenPress,,9718701,1901680487,1,"Haunted places / Comic books, strips, etc. / Fiction.",,99160,,,
"The Dark Horse book of hauntings :eight uncanny tales of spirit manifestations, apparitions and otherworldly horrors, told in words and pictures : also, seance medium L.L. Dreller orates upon his occult gift : peculiar stories from beyond ",01/01/2003,,Dark Horse Comics,,12276420,1569719586,1,"Haunted places / Comic books, strips, etc. / Fiction.",,99161,,,
Rann-Thanagar war,01/01/2005,,Titan,,13366264,1845762312,1,"Hawkman (Fictitious character) / Comic books, strips, etc.",,99163,,,
William Heath Robinson :an exhibition,01/01/1984,,C. Beetles,,11186217,,1,Heath,,99166,,,
Dante's Divine comedy,01/01/2010,,Bloomsbury,,15589484,9.78E+12,1,"Hell / Comic books, strips, etc. / Fiction.",,99173,,,
How to draw Disney's Hercules.,01/01/1999,,Titan,,12286214,1840230452,1,Hercules (Motion picture) / Juvenile literature.,,99184,,,
Disney's Hercules.,01/01/1997,,Ravette,,12030848,1853049158,1,"Hercules (Roman mythology) / Comic books, strips, etc. / Juvenile fiction.",,99186,,,
"Herge and Tintin, reporters :from Le petit vingtieme to Tintin magazine",01/01/1987,,Sundancer,,8822173,951279904,1,Herge,,99188,,,
Tintin :a biography,01/01/1991,,Hodder & Stoughton,,10693373,034052393X,1,Herge,,99189,,,
The black island.,01/01/1990,,Mammoth,,10715560,749704691,1,Herge,,99190,,,
Tintin and the world of Herge,01/01/1989,,Methuen Children's,,12618666,416148824,1,Herge,,99191,,,
Masters of the ninth art :bandes dessinees and Franco-Belgian identity,01/01/2005,,Liverpool University Press,,13052956,085323938X,1,"Herge, / 1907-1983 / Appreciation.",,99192,,,
Captain Haddock,01/01/2007,,Egmont,,13656043,9.78E+12,1,"Herge, / 1907-1983 / Characters / Captain Haddock / Juvenile literature.",,99193,,,
Tintin & Co.,01/01/2007,,Egmont,,13761719,9.78E+12,1,"Herge, / 1907-1983 / Characters / Juvenile literature.",,99194,,,
Bianca Castafiore,01/01/2007,,Egmont,,13656046,9.78E+12,1,"Herge, / 1907-1983 / Characters / Madame Castafiore / Juvenile literature.",,99195,,,
Professor Calculus,01/01/2007,,Egmont,,13656045,9.78E+12,1,"Herge, / 1907-1983 / Characters / Professor Calculus / Juvenile literature.",,99196,,,
Snowy,01/01/2007,,Egmont,,13656042,9.78E+12,1,"Herge, / 1907-1983 / Characters / Snowy / Juvenile literature.",,99197,,,
Thomson and Thompson,01/01/2007,,Egmont,,13656044,9.78E+12,1,"Herge, / 1907-1983 / Characters / Thomson Twins / Juvenile literature.",,99198,,,
Tintin,01/01/2007,,Egmont,,13656041,9.78E+12,1,"Herge, / 1907-1983 / Criticism and interpretation / Juvenile literature.",,99199,,,
The adventures of Tintin at sea,01/01/2004,,John Murray,,6904877,719561191,1,"Herge, / 1907-1983 / Criticism and interpretation.",,99200,,,
Tintin and the secret of literature,01/01/2006,,Granta,,13432272,9.78E+12,1,"Herge, / 1907-1983 / Criticism and interpretation.",,99202,,,
Tintin :Herg and his creation,01/01/2011,,John Murray,,15842225,9.78E+12,1,"Herge, / 1907-1983 / Criticism and interpretation.",,99205,,,
